,date,sales,region
0,2018-02-06,1638.0,north
1,2018-02-06,1647.0,south
2,2018-02-06,1731.0,east
3,2018-02-06,1557.0,west
4,2018-02-07,1587.0,north
5,2018-02-07,1698.0,south
6,2018-02-07,1542.0,east
7,2018-02-07,1635.0,west
8,2018-02-08,1602.0,north
9,2018-02-08,1536.0,south
10,2018-02-08,1503.0,east
11,2018-02-08,1701.0,west
12,2018-02-09,1758.0,north
13,2018-02-09,1662.0,south
14,2018-02-09,1782.0,east
15,2018-02-09,1515.0,west
16,2018-02-10,1662.0,north
17,2018-02-10,1557.0,south
18,2018-02-10,1650.0,east
19,2018-02-10,1674.0,west
20,2018-02-11,1554.0,north
21,2018-02-11,1587.0,south
22,2018-02-11,1563.0,east
23,2018-02-11,1764.0,west
24,2018-02-12,1758.0,north
25,2018-02-12,1608.0,south
26,2018-02-12,1569.0,east
27,2018-02-12,1653.0,west
28,2018-02-13,1572.0,north
29,2018-02-13,1716.0,south
30,2018-02-13,1773.0,east
31,2018-02-13,1725.0,west
32,2018-02-14,1767.0,north
33,2018-02-14,1710.0,south
34,2018-02-14,1698.0,east
35,2018-02-14,1512.0,west
36,2018-02-15,1746.0,north
37,2018-02-15,1734.0,south
38,2018-02-15,1524.0,east
39,2018-02-15,1614.0,west
40,2018-02-16,1578.0,north
41,2018-02-16,1782.0,south
42,2018-02-16,1527.0,east
43,2018-02-16,1752.0,west
44,2018-02-17,1785.0,north
45,2018-02-17,1689.0,south
46,2018-02-17,1641.0,east
47,2018-02-17,1575.0,west
48,2018-02-18,1644.0,north
49,2018-02-18,1674.0,south
50,2018-02-18,1551.0,east
51,2018-02-18,1737.0,west
52,2018-02-19,1563.0,north
53,2018-02-19,1647.0,south
54,2018-02-19,1605.0,east
55,2018-02-19,1539.0,west
56,2018-02-20,1698.0,north
57,2018-02-20,1575.0,south
58,2018-02-20,1500.0,east
59,2018-02-20,1551.0,west
60,2018-02-21,1737.0,north
61,2018-02-21,1542.0,south
62,2018-02-21,1665.0,east
63,2018-02-21,1548.0,west
64,2018-02-22,1635.0,north
65,2018-02-22,1632.0,south
66,2018-02-22,1668.0,east
67,2018-02-22,1764.0,west
68,2018-02-23,1533.0,north
69,2018-02-23,1563.0,south
70,2018-02-23,1641.0,east
71,2018-02-23,1773.0,west
72,2018-02-24,1629.0,north
73,2018-02-24,1698.0,south
74,2018-02-24,1725.0,east
75,2018-02-24,1722.0,west
76,2018-02-25,1596.0,north
77,2018-02-25,1710.0,south
78,2018-02-25,1635.0,east
79,2018-02-25,1659.0,west
80,2018-02-26,1686.0,north
81,2018-02-26,1533.0,south
82,2018-02-26,1524.0,east
83,2018-02-26,1530.0,west
84,2018-02-27,1665.0,north
85,2018-02-27,1695.0,south
86,2018-02-27,1578.0,east
87,2018-02-27,1620.0,west
88,2018-02-28,1767.0,north
89,2018-02-28,1593.0,south
90,2018-02-28,1743.0,east
91,2018-02-28,1557.0,west
92,2018-03-01,1668.0,north
93,2018-03-01,1782.0,south
94,2018-03-01,1527.0,east
95,2018-03-01,1668.0,west
96,2018-03-02,1635.0,north
97,2018-03-02,1569.0,south
98,2018-03-02,1746.0,east
99,2018-03-02,1773.0,west
100,2018-03-03,1539.0,north
101,2018-03-03,1500.0,south
102,2018-03-03,1569.0,east
103,2018-03-03,1557.0,west
104,2018-03-04,1773.0,north
105,2018-03-04,1644.0,south
106,2018-03-04,1614.0,east
107,2018-03-04,1674.0,west
108,2018-03-05,1533.0,north
109,2018-03-05,1653.0,south
110,2018-03-05,1557.0,east
111,2018-03-05,1746.0,west
112,2018-03-06,1719.0,north
113,2018-03-06,1719.0,south
114,2018-03-06,1659.0,east
115,2018-03-06,1800.0,west
116,2018-03-07,1581.0,north
117,2018-03-07,1602.0,south
118,2018-03-07,1608.0,east
119,2018-03-07,1650.0,west
120,2018-03-08,1611.0,north
121,2018-03-08,1530.0,south
122,2018-03-08,1698.0,east
123,2018-03-08,1668.0,west
124,2018-03-09,1746.0,north
125,2018-03-09,1524.0,south
126,2018-03-09,1506.0,east
127,2018-03-09,1704.0,west
128,2018-03-10,1788.0,north
129,2018-03-10,1719.0,south
130,2018-03-10,1746.0,east
131,2018-03-10,1584.0,west
132,2018-03-11,1692.0,north
133,2018-03-11,1635.0,south
134,2018-03-11,1608.0,east
135,2018-03-11,1590.0,west
136,2018-03-12,1599.0,north
137,2018-03-12,1518.0,south
138,2018-03-12,1602.0,east
139,2018-03-12,1659.0,west
140,2018-03-13,1644.0,north
141,2018-03-13,1611.0,south
